 num     #instances         #bytes  class name (module)
 181:           688          16512  io.opencensus.implcore.internal.TimestampConverter
 182:           511          16352  java.io.File (java.base@11.0.14)
 183:           676          16224  com.sun.tools.javac.file.CacheFSInfo$Entry (jdk.compiler@11.0.14)
 184:            42          16032  [Lio.grpc.netty.shaded.io.netty.buffer.PoolSubpage;
 185:           987          15792  java.util.concurrent.locks.ReentrantLock (java.base@11.0.14)
 186:            27          15768  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 187:           388          15520  org.antlr.v4.runtime.atn.OrderedATNConfigSet
 188:           484          15488  java.io.RandomAccessFile (java.base@11.0.14)
 189:           483          15456  com.sun.tools.javac.file.JavacFileManager$ArchiveContainer (jdk.compiler@11.0.14)
 190:           483          15456  java.util.zip.ZipFile$CleanableResource (java.base@11.0.14)
 191:           483          15456  sun.nio.fs.UnixFileKey (java.base@11.0.14)
 192:            22          15200  [Lio.netty.buffer.PoolSubpage;
 193:           268          15008  com.starrocks.transaction.PartitionCommitInfo
 194:           468          14976  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 195:           467          14944  com.starrocks.catalog.ScalarType
 196:           603          14472  org.apache.thrift.meta_data.FieldValueMetaData
 197:           575          13800  java.util.Collections$SetFromMap (java.base@11.0.14)
 198:           273          13432  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.14)
 199:           548          13152  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@11.0.14)
 200:           268          12864  java.lang.invoke.LambdaForm (java.base@11.0.14)
 201:           536          12864  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.14)
 202:           797          12752  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.14)
 203:           260          12480  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.14)
 204:           519          12456  com.starrocks.persist.gson.GsonUtils$ProcessHookTypeAdapterFactory$1
 205:           383          12256  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node (java.base@11.0.14)
 206:           499          11976  com.sleepycat.je.latch.LatchImpl
 207:           103          11760  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.14)
 208:           731          11696  java.lang.Integer (java.base@11.0.14)
 209:           487          11688  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 210:           487          11688  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 211:           487          11688  sun.nio.ch.NativeThreadSet (java.base@11.0.14)
 212:           484          11616  sun.reflect.generics.scope.ClassScope (java.base@11.0.14)
 213:           483          11592  java.util.zip.ZipFile$Source$Key (java.base@11.0.14)
 214:           716          11456  com.sun.proxy.$Proxy22
 215:           357          11424  jdk.internal.jrtfs.JrtPath (java.base@11.0.14)
 216:           472          11328  com.starrocks.sql.optimizer.operator.pattern.Pattern
